category_list,create_at,img_url,is_ad,name,nv_mid,price,review_count,spec_dict,star+score,url
"['디지털/가전', '음향가전', '블루투스셋', '블루투스이어폰/이어셋']",2016.12.,https://shopping-phinf.pstatic.net/main_1077690/10776906666.20161214174829.jpg?type=f140,False,애플 에어팟 1세대 (MMEF2KH/A),10776906666,214310,11932.0,"{'용도': '통화+음악(스테레오)', '채널': '스테레오', '무선방식': '블루투스(애플W1칩탑재)', '유닛형태': '코드프리', '구성품': '충전케이스포함', '색상': '화이트계열', '품목': '무선이어폰', '음질개선': 'AAC', '부가기능': ['Siri호출(두번터치)', '빔포밍마이크', '가속도계센서(동작,음성)', '광학센서', '급속충전(15분충전시3시간재생)', '터치버튼', '자동전원']}",4.8,http://cr2.shopping.naver.com/adcr.nhn?x=laZEGW%2BtWgOSR6SSnbG4c%2F%2F%2F%2Fw%3D%3DsiEky1DWIRp9RPCm8ky0MMhK519%2FYQpLyuzJwjI0lwM%2FwMHFVfyRR41kkqop4BBe7b8mPFshxxZjUZilPFxJ49LOzWylEKLxqT9tnjLp1ZU9v5vPmSTHMhkGjhp5a56X4H%2Ba899jq4vPrE%2FGLlLG4%2FEZVgIO42F1ZaXskE4po%2F46fokx%2Bl4FoGy1QI9MhYsm97ezzdZ5SmNRKo6EhCioDiHib%2FRhqgYr9wnO%2FynfKSkAY3VoGsDE1XT1S6%2BOsYQTY%2BHjcviF3tCdK3HNpy49BDe8UEBRSWcEZo8%2BvK9eep8YAlHlfLvZE7oHvTvHgz2fijoOGrgwaFoZ%2B%2FQd5RATpAH0uxbhGCKlU8oD%2FYg3hwAniaaJza9DyXc4%2B890sFMHn3BTNc1ou8z07L6rEizbO%2BexhKqqqXKolPp7yRuyM%2B8sWG5xH%2BMDbHiNNiHNZeSlzRCmbo9tv%2Flwtg6f%2BJDJpivGNqpKCAAb85PIlxyhmhd5rPVzI8i4BESS239iSmFOWt5SQ7h9NlJklPiIKyYWpqZg7V7k688qcc3DL6Tr6EA5flfkORtuLbnKw6P2b3CvjwS2WtbSXzYjLNwsTUnaO6iSM7mfoYBKC6ortqtTwHymWQUZa3Xmw4kclqHoMSwVEf6V6dWNLrR48RgpR6lUzeAz8in5VLtp6p%2F8exCeAYHhOAF5ksHaPhHo2JPalOVV7Ax3vTX3vA2N5iwtHqwkD6A%3D%3D
"['디지털/가전', '음향가전', '블루투스셋', '블루투스이어폰/이어셋']",2019.04.,https://shopping-phinf.pstatic.net/main_1862208/18622086330.20190411143246.jpg?type=f140,False,애플 에어팟 2세대 유선충전 (MV7N2KH/A),18622086330,209000,151.0,"{'종류': '이어셋', '용도': '통화+음악(스테레오)', '유닛형태': '코드프리', '구성품': '충전케이스포함', '단자': '라이트닝', '품목': '무선이어폰', '부가기능': ['가속도계센서(동작,음성)', '광학센서', '급속충전(15분충전시3시간재생)', '자동연결', '상태표시LED', '터치버튼', '자동전원'], '통화': '3시간'}",4.8,http://cr2.shopping.naver.com/adcr.nhn?x=m8WjUsH9%2B7j1rYk%2FRDjaA%2F%2F%2F%2Fw%3D%3DsD6v09XucoVqxANUn1fO0%2BmX3UDobGQfmuSt6f%2B09I0CX2Vp5lJDj17PFAuvRflaO3pUtE7B4HJ%2F6MedDZ4TXdIVtXIxgYZhNi3I0%2BzY3EHgro76EcnfNVJrci3jsYwJ%2BJzjVZcPY0YNbl%2B58ZH2TJ30uxbhGCKlU8oD%2FYg3hwAmTPkYnuY%2Byatqt9ZKmjFUYALYmir1yi%2BCoifnqT4Mz0YxZuRoEYX5ASDCuPFKsofnn0qiEyM5KKHYWjo4ABgifNyMCToZw1eYkTbg2Q1D5WV6bmN%2Fws0Dq9JkpbX8Th10Ty8frGFobbxrLnOKppAy4v2cES%2FdN5dfAznBEdXB%2FMTFjApgIXbBKF5hfO21rWT3QrCFit8BUSYxv8yEQIzNGfgq2YXtLaWgqaPyAU3cl90PLYKANUS4NJlWGWACwoYT8TyXbllb1GW6b%2B5X7zqhMueGZwFrN%2FWLOd5dRVfyiON3VWUmK5nWw3HESLxHWYwbZjDExrhqlQC9inhLkNFqUOb6VONBHYTXgP9gcPBw1UDnFTJRVonKSlo1KTxZz%2BdEYud73XDg02ZIeyKVsIrQaI5m%2F1RAt%2Fn4Lk6XV8E1GO41rqYZLkAFfPcPnMmgsRtGGU13WFsD3RBm0%2BCC2Juu1GblG7cTWf%2BYxKpK75kt3nOiQU4qiyBkDFO4ER5rUWv4%2FarXPkbUXkTr%2BmKW1Y5yg6RyxYXMtvXUwAbJktztB9w%3D%3D
"['디지털/가전', '음향가전', '블루투스셋', '블루투스이어폰/이어셋']",2019.04.,https://shopping-phinf.pstatic.net/main_1848372/18483728924.20190403114453.jpg?type=f140,False,해외애플 에어팟 2세대 무선충전,18483728924,235320,108.0,"{'종류': '이어셋', '용도': '통화+음악감상겸용', '무선방식': '블루투스'}",4.9,http://cr2.shopping.naver.com/adcr.nhn?x=xGh%2Fg4x1w62lU5Jv9vaQuf%2F%2F%2Fw%3D%3Dsyz2r0%2FxIx%2F8GYRy66jxmB1nw4GP9U8V6dKubhjLHq1hFxXq5RRrAbf2VfWG%2F%2B5KyL3nP%2F14kZOzq68csB2437Tak9D5NFmUGp%2FdfmqGsQIw%2BJuA82JsGCD83WME0VXynshPMjPe9qsgPl3i5x84HfKAvVYD5wdNeqlo6h%2F1u%2BD5S0MlE9Zhp0ZdexlLGrR6%2FIPsP%2BELw2w9UoOF0Q%2BTj%2Bgygri4oJ87e%2FLdPizQqfeUygUSTUT6M4G4GdqM1WFkAunMVHlTlrnTfY1H1xvDbIK6QqamljpIlyRXMygoK08%2BD223wbaNbW5i4XNKUYvPohdXWhOgBoOnV9GdAykBa9qWilumJ5qA9GiKkn8RnX0NqCIrmjU1KFAOSx0tFAL1rbDHUpRklVQfF953LrzAxSlARzkOhlsxjVmu8M3W8ofkExjYQLQPt22VIB03uyqrlHvJjfoYPhN2SikMY9f2%2B%2FUNUAT1FCIA0jLzzT37CiBONo1KMT5wl%2BgNB6BS81vvNqHZ01%2B4oZHicD0CYeT9bux7rKHQFpDexCXY%2FVAmNIk3%2BlzBPad6AS5Orwl9kZEmb4GwsrrKVM2hkiwAH5J3vK%2Fm4yFeLUeRn68DWj764lc%2Fz1dqOf6DBv9480%2FFNxduv5D7Yi7%2B0C1lFurN%2Bp%2BkoC8oqWIDiQ40wMjAklAv3XXfmx6V1aBDnQmInaRgcyEBzlSc340AaK3l4ytFdnqSEkQ%3D%3D
"['디지털/가전', '음향가전', '블루투스셋', '블루투스이어폰/이어셋']",2019.04.,https://shopping-phinf.pstatic.net/main_1875485/18754856889.20190418160752.jpg?type=f140,False,애플 에어팟 2세대 무선충전 (MRXJ2KH/A),18754856889,254320,21.0,"{'유닛형태': '코드프리', '구성품': '충전케이스포함', '단자': '라이트닝', '용도': '통화+음악(스테레오)', '품목': '무선이어폰', '부가기능': ['가속도계센서(동작,음성)', '광학센서', '급속충전(15분충전시3시간재생)', '자동연결', '상태표시LED', '터치버튼', '무선충전(Qi인증)', '자동전원'], '통화': '3시간'}",4.8,http://cr2.shopping.naver.com/adcr.nhn?x=%2FoEOhpTN3hLrAvLhRNd1m%2F%2F%2F%2Fw%3D%3DslBHXjtyJt%2BEgHq7kHm2SLu6YHa0R6Va3o67UowRV22eX2Vp5lJDj17PFAuvRflaOWJsWI7M2j%2BjQxXixLAJKRYVtXIxgYZhNi3I0%2BzY3EHgro76EcnfNVJrci3jsYwJ%2BJzjVZcPY0YNbl%2B58ZH2TJ30uxbhGCKlU8oD%2FYg3hwAmTPkYnuY%2Byatqt9ZKmjFUYALYmir1yi%2BCoifnqT4Mz0X4KKQ3I7aOV21bZ72kCb9h7nxLQ699rZM%2FX5DqDIbF1NyMCToZw1eYkTbg2Q1D5WV6bmN%2Fws0Dq9JkpbX8Th10Ty8frGFobbxrLnOKppAy4v2cES%2FdN5dfAznBEdXB%2FMTFjApgIXbBKF5hfO21rWT3QrCFit8BUSYxv8yEQIzNGfgq2YXtLaWgqaPyAU3cl9%2BJ1HRl43R3D9pCZN07U4XBfI%2B8LqLDxZntj5R8zxDyUC3p9Id7wCDuubFhL3eX7BaQgbW7uZDDxAaCE0o%2FfNM13oFCST40PiYRmpJ3twai63ypMsy6cTrVJpaiIyEWNw1ekRDOUP04LdFWfgYq%2BaPmdjTPcO%2Bx69QT7QSCFrQB%2F2SzYhRjC1jN9FtPjTI9%2BbwvyIyG2%2FByd%2B3z%2BvS6Rtrt02DZJJ5w%2BSUn8NHBMXIa7BCQGC9BYAoBugyikThOq7PN06j29ba%2BQsIqcxF99JJp%2Fnm2LMrX3f5%2BIF4ftL1nnBC8CWHPWO7q0vcqrmIP9mZtWS1sPhecfFh%2FgAGr0FqY%3D
"['디지털/가전', '음향가전', '블루투스셋', '블루투스이어폰/이어셋']",2019.03.,https://shopping-phinf.pstatic.net/main_8191997/81919971590.1.jpg?type=f140,False,캔디팟 가성비 에어로팟 에어팟 i10 i12 i9 tws 차이팟x,81919971590,79000,492.0,{},,http://cr2.shopping.naver.com/adcr.nhn?x=74EOXzDmb6SQQ1cGff%2Frsf%2F%2F%2Fw%3D%3Ds77xfpXBgWkMa4N94PEOS7JgTqd3WRFkZvQRvKKooKErwMHFVfyRR41kkqop4BBe7Zn5QzwM6669CRAwgza56PbOzWylEKLxqT9tnjLp1ZU9v5vPmSTHMhkGjhp5a56X4H%2Ba899jq4vPrE%2FGLlLG4%2FESIubQx87Eao%2BbIHclg669CCTxEYumlfmS0CSfIhc3r86n%2BNgD2XCIZvop5QPGYy75rzv8784SHft4S8%2F0Q6hW475HUOuHCmMH47W9v7v472pQeyAcpGrN3qdfeNy9TA0DInQTllngnA1yNWKSkSS%2BYcYJGcMIP%2Bz2Gi9L63WAmAye8yhWE%2BMCZO4ZvgAofZbyd1RBZgVyywwOnwyCtNqVt9PSV%2BgkSKJOEIqbwn%2BBr0dSxLRRVv%2BVF1KB42Ai0HZi2TX%2FE1FG3sAyo%2FD%2BH57Xwte0wQB%2Bi9cXRBNpYaxzkW472A5BtX5ffgdHw88FDKPptDtgzpRPcU2wPVXCE0XrQQjBiG5oG17a3%2B5F1Ie0KPtf8dDgxoZPl3f51qHRFNpZBWHwKgWtzXHMvWGgoD%2B%2BBFELcQyL05Nqf1KQM8ulYWDhYzcwH7TEXpJySLlAh40tEIy6osyLWpgLQ48vbl%2BoWmfTbxBoIJalziNTETp3wZujHBDZrwtA%2FSeAQnOVKtU16uksga0LMFi7O4TzUgw5ykhz1z%2F88b2mK%2BlXIrjOKTYL14sAqg81jUzNgp8izqJek5RdBlVA34oJXVaELGsw%3D&nv_mid=81919971590&cat_id=50002334
"['디지털/가전', '음향가전', '블루투스셋', '블루투스이어폰/이어셋']",2019.04.,https://shopping-phinf.pstatic.net/main_1842862/18428627338.20190401154912.jpg?type=f140,False,해외애플 에어팟 MMEF2KH,18428627338,179540,2524.0,"{'종류': '이어셋', '용도': '통화+음악감상겸용', '무선방식': '블루투스'}",4.7,http://cr2.shopping.naver.com/adcr.nhn?x=6j8BoV5gbeYPKVU%2BTJ%2BeVv%2F%2F%2Fw%3D%3Ds2WAYlMxQL4ABS7y4SPqO2%2FfECnshgsOWTGuYjyC4qaTwMHFVfyRR41kkqop4BBe7QT3pFi1NVuXski6tFgecR4VtXIxgYZhNi3I0%2BzY3EHgro76EcnfNVJrci3jsYwJ%2BJzjVZcPY0YNbl%2B58ZH2TJ30uxbhGCKlU8oD%2FYg3hwAmTPkYnuY%2Byatqt9ZKmjFUYALYmir1yi%2BCoifnqT4Mz0SxGnqrwrEJS8fEwTrVmUFK9SIzblZbWGhSDs%2BZ5moMJNyMCToZw1eYkTbg2Q1D5WV6bmN%2Fws0Dq9JkpbX8Th10Ty8frGFobbxrLnOKppAy4v2cES%2FdN5dfAznBEdXB%2FMTFjApgIXbBKF5hfO21rWT3QrCFit8BUSYxv8yEQIzNGfgq2YXtLaWgqaPyAU3cl98UlEB8bULbGhnk0B%2BPWW5JfI%2B8LqLDxZntj5R8zxDyUC3p9Id7wCDuubFhL3eX7BYQm6Hv6on%2F9IKtXjEu%2BF9V3oFCST40PiYRmpJ3twai63ypMsy6cTrVJpaiIyEWNw7OiJzJM9yxqXEyQ48WwXrjgbCyuspUzaGSLAAfkne8rcEwMfq9oT0amYqGMYfG56PTG%2FB26xLuSTFKGQkX6wqGDhAFAQIW77uYy9XtKlVI%2BnLm9FMwkvF%2B%2Bp5ef13NIeebHpXVoEOdCYidpGBzIQHOVJzfjQBoreXjK0V2epISR
"['디지털/가전', '음향가전', '블루투스셋', '블루투스이어폰/이어셋']",2019.03.,https://shopping-phinf.pstatic.net/main_1834434/18344345265.20190327152714.jpg?type=f140,False,해외애플 에어팟 2세대 유선충전 케이스,18344345265,188690,132.0,"{'종류': '이어셋', '용도': '통화+음악감상겸용', '무선방식': '블루투스'}",4.6,http://cr2.shopping.naver.com/adcr.nhn?x=34ljJkGcdnLAmS0dLYrrWP%2F%2F%2Fw%3D%3Dsq8jbp3Dqyi6OqsJF648QkObbn2ILPJ7rb8NTEZiWz7HwMHFVfyRR41kkqop4BBe7%2FhbocHzHybuZ156i6hREdTak9D5NFmUGp%2FdfmqGsQIw%2BJuA82JsGCD83WME0VXynshPMjPe9qsgPl3i5x84HfKAvVYD5wdNeqlo6h%2F1u%2BD5S0MlE9Zhp0ZdexlLGrR6%2FIPsP%2BELw2w9UoOF0Q%2BTj%2BgN8quBxx4ypXJuxtr2QfLqKHqR4P1vmLOwoKrUTYFZqunMVHlTlrnTfY1H1xvDbIK6QqamljpIlyRXMygoK08%2BD223wbaNbW5i4XNKUYvPohdXWhOgBoOnV9GdAykBa9qWilumJ5qA9GiKkn8RnX0NqCIrmjU1KFAOSx0tFAL1rbDHUpRklVQfF953LrzAxSmyzVlzRj1Cgarfxs%2FkMZW8OJ%2Bh4y9Pw9OjCIOXZRNYb4yfot%2F%2FaR4Dz6FvWOY1imYv3GlMTfdxTKosxM09qNiDHfHj2XOBaaLMyVEQL6ERtX7xqdzQOoeiedRm7bxFlkQK1ORNg92eGypAnxUBHJ3wer25VbbPDzQxUCbLEq3T5vSyuR%2FFr2HjPxNSmdtXdR7zs7IYKyBh4n8R6ZS7exHI3ZEhDtRFWviPeC4sAaByfBCQGC9BYAoBugyikThOq7OtZdVQ5dtjPOuWSf2GILKyfsCTEKx7ScVjOsKkhnABrBC8CWHPWO7q0vcqrmIP9mZtWS1sPhecfFh%2FgAGr0FqY%3D
"['디지털/가전', '음향가전', '블루투스셋', '블루투스이어폰/이어셋']",2019.03.,https://shopping-phinf.pstatic.net/main_8194605/81946053258.jpg?type=f140,False,애플 에어팟 MMEF2KH/A 왼쪽 오른쪽 단품 한쪽 국내정식발매품 AS 가능,81946053258,87000,29.0,{},,http://cr2.shopping.naver.com/adcr.nhn?x=QsizWaxm07fTFRpIf7tDJ%2F%2F%2F%2Fw%3D%3Ds5ErDhHEzXekoRmiXi7bsdbdO9uIBkFACxJwZd%2BcryFuX2Vp5lJDj17PFAuvRflaOQZcePp4IxJOWfB7UdWJHGaL%2Bk7k0JFrQmJhBq1yf35oyXJJL25NHL4YStglvYZGaHu2bjUSswtoU9soy5PUesZpBDT9g0vi2eUYP4Mg%2B3npT8hWzr%2Fx6yYt8Yj%2FzlqkQk9A0ez3pBn4DvCnY4n7zIFIcFuuGcXCZ43O8vlE0wo7dODZHLS8csmEgCKH0QHz6gshoeuXggTVhd9iyPBesjsNjbvXN3Wxiau0h6XZ2dyxjGKHYM18PQsGOOKjjvcAsvjyy9PQqeCof6hNqnXx3gEZgpdy%2Fy6acIFdITP9PpmOqPtebmtmocRso2rTO46fkjTbvhBjkyQpLGsPKxsarQcy09pVEvR9IBRyXUvTkcOCeaZM42mU4oBhy%2F0906VIxG3tJdUyRzwBempeQsj0BHTqkzCQGdSuVgURwLmpH%2BGel7aIco7NLgSDA%2FaShT%2B9zkDYirnKoE7XEeefmpxgkwce29HXR350l9ypBCiaVIoFCSrgHGA2U%2BO4uaiAgAe1wnVtTJtoTx9yGAZKXD3%2B5lSZUYtZBDujiKQGvpEGhwcGteoZ9tB44ouBJ%2B1jvxsh8uqOUS9lCIre1lvJLMD1ulSWzB9dtMmQnI%2Bc5vpwudJaZWmsHhYzFv78TzzjO6us%2F5seldWgQ50JiJ2kYHMhAcyIreC8cUV59NWLWeB6rmUAHDdv7nHTGI3GwnDGRbgOr&nv_mid=81946053258&cat_id=50002334
"['디지털/가전', '음향가전', '블루투스셋', '블루투스이어폰/이어셋']",2019.01.,https://shopping-phinf.pstatic.net/main_1706033/17060334679.8.jpg?type=f140,False,마이룸 무선 블루투스 이어폰 차이팟 애플 아이폰 에어팟 x 에어로팟 에이블팟,17060334679,29900,52887.0,{},,http://cr2.shopping.naver.com/adcrNoti.nhn?x=XsKCVNw86y4B0RVQexPqfP%2F%2F%2Fw%3D%3Ds%2BidIRDTUsL4jtwzTYm7mSWluhfuTuI7yulBirCob65XwMHFVfyRR41kkqop4BBe7YDYGAOkVUWLhshTSxKpWKDak9D5NFmUGp%2FdfmqGsQIw%2BJuA82JsGCD83WME0VXynshPMjPe9qsgPl3i5x84HfGFcZqUpveXpYf7%2B6rNARIuW3IGKHTcCAQcnIH8DpDXPv93yyFFZx085xEzbukZj8QC6RM0VYUW6Pe7XCa688Ze98pgsmewAbJ%2BA2UFZwIRxR0ckDRv5P8jHVuyzl1WtDP50EdV0NULWKtHs0s5GeRRKxQ86B9zxmnvILsKESGzWAEY47Pfgvv7aBqM%2B2nKx%2FLFTX4WRCWoY5XxiQH15ZFMb7VizCqezlc4vsFbXfnti4LBYhASul5xoHn6kheqgcBkaKX7pTvXs6WG1e2oAbVUoMS8VjjsX58hqJ9KJunLSSVrcxYjtyJMqZK1ZJk3FB86AXJ5gzkgiRb4xdihRWRSZmZnpOTqvDRPP%2F2dALjcaLExrl56LQxsDkVfymeJvW56LY%2FTMcC86jVAUirbzNEM4isQgcKkvlOnyRtTZmoG6ernQTkek%2FoCcS3FVZ%2B%2BQzTGFfahAlp9nYlu1ZkXeerrnMoFan0nbhvOqs0GoFcooWR%2BBLMoyUENGBDyvN4xMD12wlNcYVp8UJLZtI%2BlH06mFWs4q68RITHjQRTImCB5%2Feq5B%2BR3TKxvo1HmbP88PYOBw6ZYm4Te8wbdlgBC7rjJHxrre0E5lQnbrbEe0eXdU8eE9zqsl8LQbY%2FlG0jYu9wcOch42RqMPDpFBAXfen8EcdK7wPpqF1Yt02AVlPaohtkknEQcNczJoiiBMOZEwEVYpd0zM2eYcyNSghQxgScM%3D&nv_mid=17060334679&cat_id=50002334
